,Phrase,Scrape,Keyword,Score,URL,Page
48,"('it', 'from', 'the', 'elements')",244557,roofing company milwaukee,68.0,https://robsroofingllc.com/,3241994
49,"('matched', 'with', 'top', 'roofing')",244557,roofing company milwaukee,68.0,https://www.angieslist.com/companylist/milwaukee/roofing.htm,3241995
50,"('basics', 'complete', 'beginner', 's')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
51,"('beginner', 's', 'guide', 'to')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
52,"('complete', 'beginner', 's', 'guide')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
53,"('guide', 'to', 'search', 'engine')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
54,"('is', 'seo', 'search', 'engine')",244555,seo,80.0,"https://ahrefs.com/blog/what-is-seo/, https://searchengineland.com/guide/what-is-seo","3241981, 3241975"
55,"('s', 'guide', 'to', 'search')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
56,"('search', 'engine', 'optimization', 'explained')",244555,seo,80.0,https://ahrefs.com/blog/what-is-seo/,3241981
57,"('seo', 'basics', 'complete', 'beginner')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
58,"('seo', 'search', 'engine', 'optimization')",244555,seo,80.0,"https://ahrefs.com/blog/what-is-seo/, https://searchengineland.com/guide/what-is-seo","3241981, 3241975"
59,"('to', 'search', 'engine', 'optimization')",244555,seo,80.0,https://www.wordstream.com/blog/ws/2015/04/30/seo-basics,3241978
60,"('2018', 'content', 'marketing', 'toolkit')",244553,content marketing planner,80.0,https://contentmarketinginstitute.com/2017/12/content-tips-templates-checklists/,3241957
61,"('a', 'content', 'marketing', 'plan')",244553,content marketing planner,80.0,https://www.smartinsights.com/content-management/content-marketing-strategy/how-to-create-a-content-marketing-plan-for-2020/,3241962
62,"('build', 'the', 'perfect', 'content')",244553,content marketing planner,80.0,https://quuu.co/blog/content-calendar-for-2020/,3241958
63,"('content', 'calendar', 'for', '2020')",244553,content marketing planner,80.0,https://quuu.co/blog/content-calendar-for-2020/,3241958
64,"('content', 'marketing', 'plan', 'for')",244553,content marketing planner,80.0,https://www.smartinsights.com/content-management/content-marketing-strategy/how-to-create-a-content-marketing-plan-for-2020/,3241962
65,"('content', 'marketing', 'plan', 'how')",244553,content marketing planner,80.0,https://quuu.co/blog/content-calendar-for-2020/,3241958
66,"('content', 'marketing', 'planner', 'for')",244553,content marketing planner,80.0,https://keap.com/resources/tools/ultimate-content-marketing-planner-for-small-business-owners,3241960
67,"('content', 'marketing', 'toolkit', 'tips')",244553,content marketing planner,80.0,https://contentmarketinginstitute.com/2017/12/content-tips-templates-checklists/,3241957
68,"('create', 'a', 'content', 'marketing')",244553,content marketing planner,80.0,https://www.smartinsights.com/content-management/content-marketing-strategy/how-to-create-a-content-marketing-plan-for-2020/,3241962
69,"('for', 'small', 'business', 'owners')",244553,content marketing planner,80.0,https://keap.com/resources/tools/ultimate-content-marketing-planner-for-small-business-owners,3241960
70,"('kosmetyczki', 'w', 'puławach', '2020')",244525,kosmetyczka puławy,44.0,https://www.oferteo.pl/kosmetyczki/pulawy,3241133
71,"('materiały', 'ze', 'słowem', 'kluczowym')",244525,kosmetyczka puławy,44.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
72,"('najlepsze', 'kosmetyczki', 'w', 'puławach')",244525,kosmetyczka puławy,44.0,https://www.oferteo.pl/kosmetyczki/pulawy,3241133
73,"('piękności', 'agnes', 'agnieszka', 'ostańska')",244525,kosmetyczka puławy,44.0,http://salony-kosmetyczne.com/salon/szczegoly/479,3241159
74,"('studio', 'piękności', 'agnes', 'agnieszka')",244525,kosmetyczka puławy,44.0,http://salony-kosmetyczne.com/salon/szczegoly/479,3241159
75,"('puławy', 'w', 'mieście', 'puławy')",244525,kosmetyczka puławy,43.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
76,"('w', 'puławach', '2020', '47')",244525,kosmetyczka puławy,43.0,https://www.oferteo.pl/kosmetyczki/pulawy,3241133
77,"('ze', 'słowem', 'kluczowym', 'kosmetyczka')",244525,kosmetyczka puławy,43.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
78,"('kluczowym', 'kosmetyczka', 'puławy', 'w')",244525,kosmetyczka puławy,42.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
79,"('kosmetyczka', 'puławy', 'w', 'mieście')",244525,kosmetyczka puławy,42.0,https://pulawy.naszemiasto.pl/tag/kosmetyczka-pulawy,3241141
80,"('cena', '89', '00', 'zł')",244524,kosmetyczka,44.0,https://fabrykaform.pl/reisenthel-kosmetyczka-toiletbag,3241223
81,"('82', '80', 'zł', 'dodaj')",244524,kosmetyczka,40.0,https://taternik-sklep.pl/kosmetyczka-deuter-wash-center-lite.html,3241208
82,"('dopasowywanie', 'treści', 'oraz', 'promocji')",244524,kosmetyczka,40.0,https://www.eobuwie.com.pl/akcesoria/kosmetyczki-i-kuferki.html,3241182
83,"('i', 'wyszczuplić', 'twarz', 'u')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
84,"('kosmetyczki', 'z', 'poznania', 'lekarz')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
85,"('lekarz', 'zszokowany', 'zabiegiem', 'skończyło')",244524,kosmetyczka,40.0,https://gloswielkopolski.pl/chciala-powiekszyc-usta-i-wyszczuplic-twarz-u-kosmetyczki-z-poznania-lekarz-zszokowany-zabiegiem-skonczylo-sie-fatalnie/ar/c14-14697839,3241220
86,"('na', 'dopasowywanie', 'treści', 'oraz')",244524,kosmetyczka,40.0,https://www.eobuwie.com.pl/akcesoria/kosmetyczki-i-kuferki.html,3241182
